Date,Day,Temperature
11/06/2005,162,8.9
12/06/2005,163,8.5
13/06/2005,164,8.8
14/06/2005,165,5.7
15/06/2005,166,10
16/06/2005,167,9.8
17/06/2005,168,11.9
18/06/2005,169,16.2
19/06/2005,170,16.2
20/06/2005,171,11.5
21/06/2005,172,12.3
22/06/2005,173,13
23/06/2005,174,13.7
24/06/2005,175,12.8
25/06/2005,176,12.4
26/06/2005,177,7.4
27/06/2005,178,8.9
28/06/2005,179,9.3
29/06/2005,180,11.1
30/06/2005,181,11.8
01/07/2005,182,11.2
02/07/2005,183,8.9
03/07/2005,184,11.7
04/07/2005,185,10.1
05/07/2005,186,7
06/07/2005,187,11.1
07/07/2005,188,9.8
08/07/2005,189,12.2
09/07/2005,190,11.2
10/07/2005,191,15.7
11/07/2005,192,11.8
12/07/2005,193,17.1
13/07/2005,194,11.8
14/07/2005,195,14.3
15/07/2005,196,11.7
16/07/2005,197,9.9
17/07/2005,198,14.5
18/07/2005,199,13
19/07/2005,200,10
20/07/2005,201,11.2
21/07/2005,202,12.9
22/07/2005,203,10.3
23/07/2005,204,8.6
24/07/2005,205,7.8
25/07/2005,206,10.9
26/07/2005,207,10.2
27/07/2005,208,11.5
28/07/2005,209,11.3
29/07/2005,210,11
30/07/2005,211,10.7
31/07/2005,212,10.8
01/08/2005,213,9.2
02/08/2005,214,7.4
03/08/2005,215,11.5
04/08/2005,216,11.5
05/08/2005,217,9.8
06/08/2005,218,10.6
07/08/2005,219,6.2
08/08/2005,220,7.8
09/08/2005,221,11.6
10/08/2005,222,14.6
11/08/2005,223,10.7
12/08/2005,224,11.3
13/08/2005,225,11.7
14/08/2005,226,10.9
15/08/2005,227,11
16/08/2005,228,15.2
17/08/2005,229,13.4
18/08/2005,230,13.8
19/08/2005,231,7.1
20/08/2005,232,8.9
21/08/2005,233,7.5
22/08/2005,234,12
23/08/2005,235,10.1
24/08/2005,236,11.6
25/08/2005,237,7.4
26/08/2005,238,7.7
27/08/2005,239,10
28/08/2005,240,12
29/08/2005,241,10.8
30/08/2005,242,6.9
31/08/2005,243,13.7
01/09/2005,244,12.4
02/09/2005,245,7.7
03/09/2005,246,8.1
04/09/2005,247,11.6
05/09/2005,248,12.7
06/09/2005,249,12.8
07/09/2005,250,13.7
08/09/2005,251,13.4
09/09/2005,252,9.9
10/09/2005,253,10.5
11/09/2005,254,6.8
12/09/2005,255,11.8
13/09/2005,256,13.9
14/09/2005,257,12.3
15/09/2005,258,10.6
16/09/2005,259,4.3
17/09/2005,260,4.6
18/09/2005,261,12.1
19/09/2005,262,11.3
20/09/2005,263,10.5
21/09/2005,264,10.9
22/09/2005,265,14
23/09/2005,266,12.9
24/09/2005,267,3
25/09/2005,268,9.6
26/09/2005,269,10.1
27/09/2005,270,9.2
28/09/2005,271,6.8
29/09/2005,272,7.5
30/09/2005,273,9.2
01/10/2005,274,9.5
02/10/2005,275,7.8
03/10/2005,276,11.2
04/10/2005,277,10.7
05/10/2005,278,9.5
06/10/2005,279,5.6
07/10/2005,280,12
08/10/2005,281,8.3
09/10/2005,282,4.2
10/10/2005,283,13
11/10/2005,284,8.1
12/10/2005,285,7
13/10/2005,286,7.5
14/10/2005,287,2.1
15/10/2005,288,9
16/10/2005,289,10.3
17/10/2005,290,10.1
18/10/2005,291,9.4
19/10/2005,292,10.1
20/10/2005,293,8.5
21/10/2005,294,6.7
22/10/2005,295,8
23/10/2005,296,6
24/10/2005,297,6.7
25/10/2005,298,8.2
26/10/2005,299,8.9
27/10/2005,300,13.4
28/10/2005,301,14.7
29/10/2005,302,7.6
30/10/2005,303,14.1
31/10/2005,304,8
01/11/2005,305,5
02/11/2005,306,5.1
03/11/2005,307,10.8
04/11/2005,308,10
05/11/2005,309,4.5
06/11/2005,310,5.6
07/11/2005,311,6.7
08/11/2005,312,7.4
09/11/2005,313,2.7
10/11/2005,314,9
11/11/2005,315,8.5
12/11/2005,316,5
13/11/2005,317,-0.3
14/11/2005,318,7.8
15/11/2005,319,5.5
16/11/2005,320,1.3
17/11/2005,321,-2.8
18/11/2005,322,-4.5
19/11/2005,323,-4.2
20/11/2005,324,-1
21/11/2005,325,0.8
22/11/2005,326,1.7
23/11/2005,327,1.7
24/11/2005,328,5.2
25/11/2005,329,-0.6
26/11/2005,330,4
27/11/2005,331,0.9
28/11/2005,332,0
29/11/2005,333,-1.2
30/11/2005,334,-1.3
01/12/2005,335,6.2
02/12/2005,336,2.2
03/12/2005,337,5.2
04/12/2005,338,3.9
05/12/2005,339,2.8
06/12/2005,340,2.2
07/12/2005,341,-2.3
08/12/2005,342,1.7
09/12/2005,343,4.8
10/12/2005,344,10.2
11/12/2005,345,9.1
12/12/2005,346,0.1
13/12/2005,347,0.2
14/12/2005,348,4.2
15/12/2005,349,7.7
16/12/2005,350,5.4
17/12/2005,351,-0.6
18/12/2005,352,-3.5
19/12/2005,353,4.5
20/12/2005,354,4.6
21/12/2005,355,6.8
22/12/2005,356,3.1
23/12/2005,357,8.7
24/12/2005,358,4.3
25/12/2005,359,-2.6
26/12/2005,360,-2.9
27/12/2005,361,-0.1
28/12/2005,362,-4.2
29/12/2005,363,-3.8
30/12/2005,364,-1.2
31/12/2005,365,0.7
01/01/2006,366,1.3
02/01/2006,367,0.1
03/01/2006,368,5
04/01/2006,369,-2.1
05/01/2006,370,-1.4
06/01/2006,371,0.7
07/01/2006,372,0.8
08/01/2006,373,-1.8
09/01/2006,374,-4.4
10/01/2006,375,6.4
11/01/2006,376,4.1
12/01/2006,377,3.8
13/01/2006,378,8.2
14/01/2006,379,2
15/01/2006,380,1.6
16/01/2006,381,4.9
17/01/2006,382,1.3
18/01/2006,383,5.1
19/01/2006,384,9.7
20/01/2006,385,3.6
21/01/2006,386,5.5
22/01/2006,387,3.2
23/01/2006,388,4.9
24/01/2006,389,5
25/01/2006,390,2.8
26/01/2006,391,1.5
27/01/2006,392,3.2
28/01/2006,393,2.5
29/01/2006,394,2.1
30/01/2006,395,-4.8
31/01/2006,396,-4.2
01/02/2006,397,1
02/02/2006,398,2.6
03/02/2006,399,1.8
04/02/2006,400,-0.8
05/02/2006,401,6
06/02/2006,402,6
07/02/2006,403,8.3
08/02/2006,404,3.6
09/02/2006,405,-1
10/02/2006,406,-4.6
11/02/2006,407,1.4
12/02/2006,408,5.2
13/02/2006,409,5
14/02/2006,410,5.4
15/02/2006,411,4.6
16/02/2006,412,3.5
17/02/2006,413,2.2
18/02/2006,414,-2.3
19/02/2006,415,-3
20/02/2006,416,0.7
21/02/2006,417,0.1
22/02/2006,418,0
23/02/2006,419,1.3
24/02/2006,420,6
25/02/2006,421,2.8
26/02/2006,422,2.5
27/02/2006,423,0.6
28/02/2006,424,-1.3
01/03/2006,425,-2
02/03/2006,426,-4.1
03/03/2006,427,-3.7
04/03/2006,428,-4.1
05/03/2006,429,-1.8
06/03/2006,430,-2.6
07/03/2006,431,0.6
08/03/2006,432,3
09/03/2006,433,1.7
10/03/2006,434,3.3
11/03/2006,435,2.3
12/03/2006,436,-1.4
13/03/2006,437,1.4
14/03/2006,438,1.9
15/03/2006,439,2.6
16/03/2006,440,0.3
17/03/2006,441,2.2
18/03/2006,442,3.2
19/03/2006,443,1.7
20/03/2006,444,3.3
21/03/2006,445,-0.1
22/03/2006,446,-3.7
23/03/2006,447,-1
24/03/2006,448,2.8
25/03/2006,449,4
26/03/2006,450,7.3
27/03/2006,451,9.3
28/03/2006,452,7.3
29/03/2006,453,1.8
30/03/2006,454,3.7
31/03/2006,455,4.9
01/04/2006,456,2.9
02/04/2006,457,3.6
03/04/2006,458,2.2
04/04/2006,459,-1.3
05/04/2006,460,-0.2
06/04/2006,461,5.3
07/04/2006,462,3.4
08/04/2006,463,1
09/04/2006,464,0.5
10/04/2006,465,-2.8
11/04/2006,466,5.1
12/04/2006,467,4.9
13/04/2006,468,6.2
14/04/2006,469,4.1
15/04/2006,470,3.7
16/04/2006,471,5.5
17/04/2006,472,4
18/04/2006,473,2.6
19/04/2006,474,1.2
20/04/2006,475,3.2
21/04/2006,476,3.1
22/04/2006,477,2.8
23/04/2006,478,2.1
24/04/2006,479,1.8
25/04/2006,480,8.4
26/04/2006,481,6.5
27/04/2006,482,3
28/04/2006,483,2.3
29/04/2006,484,3.4
30/04/2006,485,2.3
01/05/2006,486,4.5
02/05/2006,487,3.8
03/05/2006,488,5.6
04/05/2006,489,6.6
05/05/2006,490,9.6
06/05/2006,491,4.3
07/05/2006,492,9.9
08/05/2006,493,8.5
09/05/2006,494,5.8
10/05/2006,495,4.1
11/05/2006,496,6.1
12/05/2006,497,8.2
13/05/2006,498,4.4
14/05/2006,499,3.2
15/05/2006,500,8.2
16/05/2006,501,8.2
17/05/2006,502,10.4
18/05/2006,503,11
19/05/2006,504,7.6
20/05/2006,505,7.3
21/05/2006,506,4.5
22/05/2006,507,5.5
23/05/2006,508,1
24/05/2006,509,3.8
25/05/2006,510,2.3
26/05/2006,511,4.4
27/05/2006,512,10
28/05/2006,513,8.8
29/05/2006,514,4.7
30/05/2006,515,3.3
31/05/2006,516,1.3
01/06/2006,517,9.9
02/06/2006,518,9.9
03/06/2006,519,8.5
04/06/2006,520,7.7
05/06/2006,521,7
06/06/2006,522,7.3
07/06/2006,523,9.7
08/06/2006,524,7.1
09/06/2006,525,8.3
10/06/2006,526,10.7
11/06/2006,527,12.9
12/06/2006,528,10.2
13/06/2006,529,11
14/06/2006,530,7.4
15/06/2006,531,7.8
16/06/2006,532,12.8
17/06/2006,533,12.8
18/06/2006,534,13
19/06/2006,535,11.7
20/06/2006,536,7.5
21/06/2006,537,9
22/06/2006,538,10.2
23/06/2006,539,10
24/06/2006,540,8.9
25/06/2006,541,7.5
26/06/2006,542,6.6
27/06/2006,543,8.7
28/06/2006,544,6.6
29/06/2006,545,12.5
30/06/2006,546,13
01/07/2006,547,10
02/07/2006,548,11
03/07/2006,549,14.8
04/07/2006,550,13.5
05/07/2006,551,11.9
06/07/2006,552,13
07/07/2006,553,11.9
08/07/2006,554,9.3
09/07/2006,555,11
10/07/2006,556,9.1
11/07/2006,557,10.8
12/07/2006,558,13.1
13/07/2006,559,9
14/07/2006,560,6.4
15/07/2006,561,8.5
16/07/2006,562,9.6
17/07/2006,563,12.5
18/07/2006,564,13.7
19/07/2006,565,12.7
20/07/2006,566,13.5
21/07/2006,567,15.6
22/07/2006,568,12.5
23/07/2006,569,15.6
24/07/2006,570,13
25/07/2006,571,12.7
26/07/2006,572,16.7
27/07/2006,573,13.6
28/07/2006,574,13
29/07/2006,575,15.3
30/07/2006,576,10.9
31/07/2006,577,11.8
01/08/2006,578,10.6
02/08/2006,579,12.7
03/08/2006,580,10.8
04/08/2006,581,12.1
05/08/2006,582,15
06/08/2006,583,16.8
07/08/2006,584,7.9
08/08/2006,585,7.2
09/08/2006,586,11.3
10/08/2006,587,10.3
11/08/2006,588,9.2
12/08/2006,589,10.3
13/08/2006,590,7.4
14/08/2006,591,10.1
15/08/2006,592,11.5
16/08/2006,593,9
17/08/2006,594,9.4
18/08/2006,595,14.5
19/08/2006,596,14.7
20/08/2006,597,13.4
21/08/2006,598,12.6
22/08/2006,599,9.2
23/08/2006,600,13.2
24/08/2006,601,8.3
25/08/2006,602,7.3
26/08/2006,603,11.7
27/08/2006,604,11.3
28/08/2006,605,8.8
29/08/2006,606,9.8
30/08/2006,607,9.5
31/08/2006,608,10.7
01/09/2006,609,14.3
02/09/2006,610,8.8
03/09/2006,611,11.9
04/09/2006,612,11.7
05/09/2006,613,12.3
06/09/2006,614,14.3
07/09/2006,615,8.3
08/09/2006,616,5.1
09/09/2006,617,5.7
10/09/2006,618,7.4
11/09/2006,619,12.1
12/09/2006,620,13.8
13/09/2006,621,14.1
14/09/2006,622,14.1
15/09/2006,623,8.7
16/09/2006,624,6.9
17/09/2006,625,12.1
18/09/2006,626,8.3
19/09/2006,627,10.3
20/09/2006,628,11.6
21/09/2006,629,16
22/09/2006,630,10.9
23/09/2006,631,12.2
24/09/2006,632,13.2
25/09/2006,633,11.7
26/09/2006,634,10.4
27/09/2006,635,12.3
28/09/2006,636,12.4
29/09/2006,637,10.9
30/09/2006,638,8.1
01/10/2006,639,12.3
02/10/2006,640,7.9
03/10/2006,641,9.1
04/10/2006,642,5.4
05/10/2006,643,8.3
06/10/2006,644,12.7
07/10/2006,645,9
08/10/2006,646,9.9
09/10/2006,647,9.1
10/10/2006,648,4.3
11/10/2006,649,9
12/10/2006,650,7.6
13/10/2006,651,7.1
14/10/2006,652,9.3
15/10/2006,653,6.8
16/10/2006,654,3.3
17/10/2006,655,9.7
18/10/2006,656,9.7
19/10/2006,657,10.1
20/10/2006,658,10.4
21/10/2006,659,8.4
22/10/2006,660,6.5
23/10/2006,661,6
24/10/2006,662,5.9
25/10/2006,663,8
26/10/2006,664,9.2
27/10/2006,665,3.4
28/10/2006,666,11.8
29/10/2006,667,7.5
30/10/2006,668,8.6
31/10/2006,669,9
01/11/2006,670,1
02/11/2006,671,0.9
03/11/2006,672,-0.5
04/11/2006,673,6.3
05/11/2006,674,10.2
06/11/2006,675,10.9
07/11/2006,676,8.7
08/11/2006,677,9.5
09/11/2006,678,4.7
10/11/2006,679,4.1
11/11/2006,680,6
12/11/2006,681,4.8
13/11/2006,682,8.1
14/11/2006,683,5
15/11/2006,684,3.8
16/11/2006,685,4
17/11/2006,686,3.8
18/11/2006,687,0.8
19/11/2006,688,-0.1
20/11/2006,689,3.5
21/11/2006,690,4.9
22/11/2006,691,1.1
23/11/2006,692,5.4
24/11/2006,693,4.8
25/11/2006,694,4
26/11/2006,695,4.7
27/11/2006,696,7.2
28/11/2006,697,7.5
29/11/2006,698,5
30/11/2006,699,11
01/12/2006,700,5.2
02/12/2006,701,6.3
03/12/2006,702,6.2
04/12/2006,703,6.3
05/12/2006,704,6.4
06/12/2006,705,4.5
07/12/2006,706,4.1
08/12/2006,707,3.1
09/12/2006,708,1.8
10/12/2006,709,0.7
11/12/2006,710,3.9
12/12/2006,711,4.5
13/12/2006,712,5.7
14/12/2006,713,8.5
15/12/2006,714,4.3
16/12/2006,715,1.9
17/12/2006,716,1.7
18/12/2006,717,2.1
19/12/2006,718,-1.4
20/12/2006,719,2.3
21/12/2006,720,2.3
22/12/2006,721,7.2
23/12/2006,722,3.8
24/12/2006,723,3.2
25/12/2006,724,-1
26/12/2006,725,3.7
27/12/2006,726,1.3
28/12/2006,727,2.5
29/12/2006,728,6.9
30/12/2006,729,5.4
31/12/2006,730,5.2
01/01/2007,731,4
02/01/2007,732,2.6
03/01/2007,733,5.6
04/01/2007,734,8
05/01/2007,735,7.4
06/01/2007,736,6.1
07/01/2007,737,6.8
08/01/2007,738,4
09/01/2007,739,8.5
10/01/2007,740,3.8
11/01/2007,741,3.9
12/01/2007,742,4.9
13/01/2007,743,6
14/01/2007,744,3.7
15/01/2007,745,7.8
16/01/2007,746,0
17/01/2007,747,0.4
18/01/2007,748,0.2
19/01/2007,749,3.5
20/01/2007,750,3.9
21/01/2007,751,1.2
22/01/2007,752,-0.4
23/01/2007,753,-1.6
24/01/2007,754,2.1
25/01/2007,755,-1.7
26/01/2007,756,5.2
27/01/2007,757,4.7
28/01/2007,758,6.9
29/01/2007,759,8.5
30/01/2007,760,5.9
31/01/2007,761,8
01/02/2007,762,8.9
02/02/2007,763,5.1
03/02/2007,764,0.8
04/02/2007,765,1
05/02/2007,766,0.1
06/02/2007,767,-4.2
07/02/2007,768,-4.6
08/02/2007,769,-2.5
09/02/2007,770,-1.5
10/02/2007,771,1.3
11/02/2007,772,3.2
12/02/2007,773,4.5
13/02/2007,774,5.7
14/02/2007,775,2.3
15/02/2007,776,3.4
16/02/2007,777,6.7
17/02/2007,778,5.6
18/02/2007,779,-2.3
19/02/2007,780,3.8
20/02/2007,781,6.4
21/02/2007,782,3.4
22/02/2007,783,5.2
23/02/2007,784,7.6
24/02/2007,785,7.1
25/02/2007,786,4.8
26/02/2007,787,3.9
27/02/2007,788,1.5
28/02/2007,789,6.7
01/03/2007,790,4.4
02/03/2007,791,-1
03/03/2007,792,3.3
04/03/2007,793,1.4
05/03/2007,794,4.1
06/03/2007,795,4.5
07/03/2007,796,5
08/03/2007,797,3.5
09/03/2007,798,3.1
10/03/2007,799,6.8
11/03/2007,800,8.6
12/03/2007,801,3.7
13/03/2007,802,5.2
14/03/2007,803,5.8
15/03/2007,804,7.6
16/03/2007,805,2.8
17/03/2007,806,7.9
18/03/2007,807,1.6
19/03/2007,808,1
20/03/2007,809,0.3
21/03/2007,810,-4
22/03/2007,811,4.4
23/03/2007,812,-0.6
24/03/2007,813,1.9
25/03/2007,814,3.3
26/03/2007,815,4.2
27/03/2007,816,4.2
28/03/2007,817,6.1
29/03/2007,818,4
30/03/2007,819,2.8
31/03/2007,820,1.6
01/04/2007,821,3.5
02/04/2007,822,-1
03/04/2007,823,5
04/04/2007,824,1.1
05/04/2007,825,4.1
06/04/2007,826,3.4
07/04/2007,827,3.6
08/04/2007,828,5.8
09/04/2007,829,8.7
10/04/2007,830,9.6
11/04/2007,831,8.6
12/04/2007,832,3.8
13/04/2007,833,3.4
14/04/2007,834,7
15/04/2007,835,8.1
16/04/2007,836,3.8
17/04/2007,837,5.3
18/04/2007,838,2.9
19/04/2007,839,8.3
20/04/2007,840,5.2
21/04/2007,841,8.7
22/04/2007,842,10.3
23/04/2007,843,11.4
24/04/2007,844,11.5
25/04/2007,845,11.2
26/04/2007,846,3.8
27/04/2007,847,4.6
28/04/2007,848,5.5
29/04/2007,849,7.1
30/04/2007,850,5
01/05/2007,851,4.4
02/05/2007,852,5
03/05/2007,853,6.1
04/05/2007,854,6.4
05/05/2007,855,5.5
06/05/2007,856,8.4
07/05/2007,857,7.5
08/05/2007,858,8.2
09/05/2007,859,5.9
10/05/2007,860,6.1
11/05/2007,861,6.2
12/05/2007,862,7
13/05/2007,863,3.4
14/05/2007,864,3.6
15/05/2007,865,3.5
16/05/2007,866,5.5
17/05/2007,867,9
18/05/2007,868,9.4
19/05/2007,869,6.7
20/05/2007,870,7.2
21/05/2007,871,3.6
22/05/2007,872,7.9
23/05/2007,873,9
24/05/2007,874,11.3
25/05/2007,875,4.9
26/05/2007,876,4.5
27/05/2007,877,4.6
28/05/2007,878,1.9
29/05/2007,879,5.6
30/05/2007,880,8.2
31/05/2007,881,10
01/06/2007,882,8.3
02/06/2007,883,11
03/06/2007,884,13.4
04/06/2007,885,11.7
05/06/2007,886,11.3
06/06/2007,887,9.8
07/06/2007,888,9.5
08/06/2007,889,12
09/06/2007,890,10.4
10/06/2007,891,14
11/06/2007,892,13.5
12/06/2007,893,12.8
13/06/2007,894,9.7
14/06/2007,895,8.7
15/06/2007,896,8.7
16/06/2007,897,8.9
17/06/2007,898,7.9
18/06/2007,899,11.1
19/06/2007,900,12.2
20/06/2007,901,13
21/06/2007,902,11.3
22/06/2007,903,11.1
23/06/2007,904,12.6
24/06/2007,905,7.7
25/06/2007,906,10.5
26/06/2007,907,6.5
27/06/2007,908,9.1
28/06/2007,909,8
29/06/2007,910,8.1
30/06/2007,911,5.1
01/07/2007,912,12.8
02/07/2007,913,12.3
03/07/2007,914,12.3
04/07/2007,915,12.3
05/07/2007,916,12.2
06/07/2007,917,10.7
07/07/2007,918,11.7
08/07/2007,919,9.9
09/07/2007,920,7.4
10/07/2007,921,7.3
11/07/2007,922,11.4
12/07/2007,923,10
13/07/2007,924,11.3
14/07/2007,925,12
15/07/2007,926,7.1
16/07/2007,927,12.7
17/07/2007,928,12.3
18/07/2007,929,9
19/07/2007,930,12.4
20/07/2007,931,11.2
21/07/2007,932,10.3
22/07/2007,933,8.6
23/07/2007,934,6.3
24/07/2007,935,10.7
25/07/2007,936,12.2
26/07/2007,937,11.8
27/07/2007,938,10
28/07/2007,939,11.7
29/07/2007,940,6.7
30/07/2007,941,7.8
31/07/2007,942,9.3
01/08/2007,943,13.5
02/08/2007,944,11.3
03/08/2007,945,8.9
04/08/2007,946,14.3
05/08/2007,947,11.5
06/08/2007,948,11.6
07/08/2007,949,9.7
08/08/2007,950,7.3
09/08/2007,951,6.5
10/08/2007,952,12.5
11/08/2007,953,13.6
12/08/2007,954,12.2
13/08/2007,955,11.4
14/08/2007,956,9.1
15/08/2007,957,10.4
16/08/2007,958,10
17/08/2007,959,9.1
18/08/2007,960,11.9
19/08/2007,961,11.2
20/08/2007,962,5.6
21/08/2007,963,10.9
22/08/2007,964,11.7
23/08/2007,965,8.4
24/08/2007,966,12.2
25/08/2007,967,14.5
26/08/2007,968,11.1
27/08/2007,969,9.6
28/08/2007,970,9.9
29/08/2007,971,7.4
30/08/2007,972,13.9
31/08/2007,973,13.3
01/09/2007,974,10.8
02/09/2007,975,12.4
03/09/2007,976,7
04/09/2007,977,6.8
05/09/2007,978,14
06/09/2007,979,13.3
07/09/2007,980,13
08/09/2007,981,11.4
09/09/2007,982,13.1
10/09/2007,983,11.4
11/09/2007,984,7.9
12/09/2007,985,12.2
13/09/2007,986,11.3
14/09/2007,987,10.3
15/09/2007,988,1.6
16/09/2007,989,13.6
17/09/2007,990,8.2
18/09/2007,991,0.7
19/09/2007,992,7.6
20/09/2007,993,10.1
21/09/2007,994,8.8
22/09/2007,995,9.6
23/09/2007,996,11.9
24/09/2007,997,9.1
25/09/2007,998,6.9
26/09/2007,999,3.8
27/09/2007,1000,2
28/09/2007,1001,3.7
29/09/2007,1002,8.9
30/09/2007,1003,8.6
01/10/2007,1004,3.7
02/10/2007,1005,3.4
03/10/2007,1006,10.4
04/10/2007,1007,8.3
05/10/2007,1008,4.9
06/10/2007,1009,6.1
07/10/2007,1010,5.2
08/10/2007,1011,6.2
09/10/2007,1012,10.4
10/10/2007,1013,9.6
11/10/2007,1014,11.6
12/10/2007,1015,12.9
13/10/2007,1016,12.5
14/10/2007,1017,10
15/10/2007,1018,11.5
16/10/2007,1019,8.3
17/10/2007,1020,5
18/10/2007,1021,0.3
19/10/2007,1022,5.9
20/10/2007,1023,7.5
21/10/2007,1024,9.1
22/10/2007,1025,10.3
23/10/2007,1026,4.3
24/10/2007,1027,0.5
25/10/2007,1028,0.3
26/10/2007,1029,9.1
27/10/2007,1030,5.1
28/10/2007,1031,7.9
29/10/2007,1032,5.6
30/10/2007,1033,4.1
31/10/2007,1034,11.6
01/11/2007,1035,12.5
02/11/2007,1036,13.1
03/11/2007,1037,8
04/11/2007,1038,3.9
05/11/2007,1039,9.7
06/11/2007,1040,6
07/11/2007,1041,10.3
08/11/2007,1042,8.8
09/11/2007,1043,4.4
10/11/2007,1044,9.1
11/11/2007,1045,5.9
12/11/2007,1046,-3.4
13/11/2007,1047,3.8
14/11/2007,1048,3.9
15/11/2007,1049,0.7
16/11/2007,1050,2.9
17/11/2007,1051,9.1
18/11/2007,1052,5.5
19/11/2007,1053,4.7
20/11/2007,1054,5.5
21/11/2007,1055,5.6
22/11/2007,1056,6.1
23/11/2007,1057,-3.1
24/11/2007,1058,-0.9
25/11/2007,1059,4.9
26/11/2007,1060,3.7
27/11/2007,1061,5.1
28/11/2007,1062,8.1
29/11/2007,1063,5
30/11/2007,1064,5
01/12/2007,1065,4.1
02/12/2007,1066,3.5
03/12/2007,1067,3.3
04/12/2007,1068,2.2
05/12/2007,1069,9.3
06/12/2007,1070,6.5
07/12/2007,1071,5.1
08/12/2007,1072,0.9
09/12/2007,1073,1.2
10/12/2007,1074,1
11/12/2007,1075,-0.6
12/12/2007,1076,3.5
13/12/2007,1077,6.8
14/12/2007,1078,6.8
15/12/2007,1079,4.8
16/12/2007,1080,-1.2
17/12/2007,1081,-4.5
18/12/2007,1082,-1.4
19/12/2007,1083,-2.6
